PROVNUM,PROVNAME,ADDRESS,CITY,STATE,ZIP,PHONE,COUNTY_SSA,COUNTY_NAME,BEDCERT,RESTOT,INHOSP,CCRC_FACIL,SFF,CHOW_LAST_12MOS,SPRINKLER_STATUS,EXP_TOTAL,ADJ_TOTAL,OWNERSHIP,CERTIFICATION,CYCLE_1_DEFS,CYCLE_1_NFROMDEFS,CYCLE_1_NFROMCOMP,CYCLE_1_DEFS_SCORE,CYCLE_1_NUMREVIS,CYCLE_1_REVISIT_SCORE,CYCLE_1_TOTAL_SCORE,CYCLE_1_SURVEY_DATE,CYCLE_2_SURVEY_DATE,FINE_CNT,FINE_TOT,CYCLE_2_TOTAL_SCORE
015010,COOSA VALLEY NURSING FACILITY,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,2562495604,600,Talladega,85,74.2,True,False,False,False,True,,,For profit - Corporation,Medicare and Medicaid,7,7,0,36,1,0,36,2017-04-06,2016-05-26,1,15259,16
015012,HIGHLANDS HEALTH AND REHAB,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,2562183708,350,Jackson,50,,True,False,False,False,True,,,Government - County,Medicare and Medicaid,5,5,0,44,1,0,44,2017-03-16,2016-02-04,0,0,12
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206,2058330146,360,Jefferson,92,79.8,False,False,False,False,True,3.08015,3.83026,For profit - Corporation,Medicare and Medicaid,6,6,0,40,1,0,40,2016-10-20,2015-12-30,0,0,24
015015,PLANTATION MANOR NURSING HOME,6450 OLD TUSCALOOSA HIGHWAY   P O BOX 97,MC CALLA,AL,35111,2054776161,360,Jefferson,103,98.1,False,True,False,False,True,2.83938,3.95709,For profit - Corporation,Medicare and Medicaid,2,2,0,16,1,0,16,2017-03-09,2016-02-11,0,0,24
015016,ATHENS HEALTH AND REHABILITATION LLC,611 WEST MARKET STREET,ATHENS,AL,35611,2562321620,410,Limestone,149,119.7,False,False,False,False,True,3.15554,4.07866,For profit - Corporation,Medicare and Medicaid,2,2,0,20,1,0,20,2017-06-01,2016-05-12,0,0,28
015019,MERRY WOOD LODGE CARE AND REHABILITATION CENTER,P O BOX 130,ELMORE,AL,36025,3345678484,250,Elmore,124,96.0,False,False,False,False,True,2.9357,3.52979,For profit - Corporation,Medicare and Medicaid,5,5,1,16,1,0,16,2017-02-02,2015-12-17,0,0,0
015024,SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI,1600 WEST HOBBS STREET,ATHENS,AL,35611,2562323461,410,Limestone,170,137.6,False,False,False,False,True,3.20751,4.09048,For profit - Corporation,Medicare and Medicaid,11,11,0,68,1,0,68,2016-12-01,2015-10-01,0,0,48
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",1825 HOLTVILLE ROAD,WETUMPKA,AL,36092,3345675131,250,Elmore,121,112.9,False,False,False,False,True,3.06737,3.76695,For profit - Corporation,Medicare and Medicaid,3,3,0,24,1,0,24,2017-02-23,2016-03-03,0,0,20
015028,KELLER LANDING,813 KELLER LANE,TUSCUMBIA,AL,35674,2563831535,160,Colbert,109,78.9,False,False,False,False,True,2.74078,3.65833,For profit - Corporation,Medicare and Medicaid,3,3,0,20,1,0,20,2017-08-10,2016-06-23,0,0,8
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,805 FLAGG CIRCLE,FLORENCE,AL,35631,2567405400,380,Lauderdale,222,176.3,False,False,False,False,True,,,For profit - Corporation,Medicare and Medicaid,2,1,1,79,1,0,79,2017-06-15,2016-05-12,1,31639,12
015032,DIVERSICARE OF FOLEY,1701 NORTH ALSTON STREET,FOLEY,AL,36535,2519432781,10,Baldwin,154,122.3,False,False,False,False,True,2.90829,3.70024,For profit - Corporation,Medicare and Medicaid,4,4,0,16,1,0,16,2017-05-25,2016-05-05,0,0,80
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",600 34TH ST,NORTHPORT,AL,35473,2053395900,620,Tuscaloosa,78,65.6,False,False,False,False,True,3.05118,4.19578,For profit - Corporation,Medicare and Medicaid,4,4,0,28,1,0,28,2017-04-27,2016-03-31,0,0,44
015035,WEST GATE VILLAGE,100 PINEVIEW AND THIRD P.O. BOX 49,BREWTON,AL,36427,2518676077,260,Escambia,129,111.1,False,False,False,False,True,3.06866,4.79838,For profit - Corporation,Medicare and Medicaid,1,1,0,4,1,0,4,2017-06-08,2016-05-05,0,0,20
015037,BLUE RIDGE HEALTHCARE WINDWOOD,3312 WOODLEY ROAD,MONTGOMERY,AL,36116,3342882780,500,Montgomery,105,50.9,False,False,True,True,True,3.0273,4.47861,For profit - Corporation,Medicare and Medicaid,18,18,0,128,1,0,128,2017-11-20,2017-04-27,1,329030,20
015040,DIVERSICARE OF MONTGOMERY,2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106,3342631643,500,Montgomery,138,127.8,False,False,False,False,True,2.89593,3.07635,For profit - Corporation,Medicare and Medicaid,14,5,9,72,1,0,72,2017-01-05,2015-12-10,0,0,28
015042,"SUMTER HEALTH AND REHABILITATION, L L C",1505 EAST 4TH AVENUE,YORK,AL,36925,2053925281,590,Sumter,125,95.8,False,False,False,False,True,3.1728,3.86719,For profit - Corporation,Medicare and Medicaid,2,2,0,12,1,0,12,2017-07-20,2016-06-30,0,0,24
015044,"CAREGIVERS OF PLEASANT GROVE, INC",700 FIRST AVENUE,PLEASANT GROVE,AL,35127,2057448120,360,Jefferson,64,53.6,False,False,False,False,True,2.93909,3.11161,For profit - Corporation,Medicare and Medicaid,0,0,0,0,0,0,0,2017-01-26,2016-03-10,0,0,40
015045,EAMC LANIER NURSING HOME,4800 48TH STREET,VALLEY,AL,36854,3347561401,80,Chambers,103,97.4,True,False,False,False,True,2.7579,4.50597,Non profit - Other,Medicare and Medicaid,4,4,1,44,1,0,44,2017-02-02,2016-06-24,1,243003,123
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",1424 NORTH 25TH STREET,BIRMINGHAM,AL,35234,2053285870,360,Jefferson,113,96.8,False,False,False,False,True,2.82626,4.53788,For profit - Corporation,Medicare and Medicaid,9,9,0,52,1,0,52,2017-06-22,2016-06-30,1,13260,56
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,"101 VILLA DRIVE, P O BOX 1090",DAPHNE,AL,36526,2516214200,10,Baldwin,117,99.6,False,False,False,False,True,3.1177,5.45977,Non profit - Corporation,Medicare and Medicaid,2,2,0,8,1,0,8,2016-12-08,2015-10-01,0,0,32
015050,OAK TRACE CARE & REHABILITATION CENTER,325 SELMA ROAD,BESSEMER,AL,35020,2054289383,360,Jefferson,79,77.2,False,False,False,False,True,2.68972,3.43283,For profit - Corporation,Medicare and Medicaid,2,2,1,8,1,0,8,2017-10-12,2017-02-16,0,0,8
015053,CLEBURNE COUNTY NURSING HOME,122 BROCKFORD ROAD,HEFLIN,AL,36264,2564632121,140,Cleburne,82,78.4,False,False,False,False,True,2.8636,4.69104,Government - County,Medicare and Medicaid,1,1,0,4,1,0,4,2017-04-20,2016-12-22,0,0,12
015060,TERRACE OAKS CARE & REHABILITATION CENTER,4201 BESSEMER SUPER HIGHWAY,BESSEMER,AL,35020,2054283249,360,Jefferson,69,61.0,False,False,False,False,True,2.79037,3.70693,For profit - Corporation,Medicare and Medicaid,5,1,4,429,1,0,429,2016-11-30,2015-10-01,1,130864,36
015063,DIVERSICARE OF BOAZ,600 CORLEY AVENUE,BOAZ,AL,35957,2565938380,470,Marshall,100,88.2,False,False,False,False,True,3.0481,3.35581,For profit - Corporation,Medicare and Medicaid,4,4,0,16,1,0,16,2017-06-29,2016-06-30,0,0,24
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",601 JASMINE TRAIL,PRATTVILLE,AL,36066,3343652241,0,Autauga,162,142.8,False,False,False,False,True,3.15191,4.1799,For profit - Individual,Medicare and Medicaid,3,3,3,24,1,0,24,2016-10-20,2015-10-08,1,13408,112
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",390 UNDERWOOD ROAD,RUSSELLVILLE,AL,35653,2563323826,290,Franklin,63,58.1,False,False,False,False,True,3.15469,3.72999,For profit - Corporation,Medicare and Medicaid,4,4,0,16,1,0,16,2017-05-25,2016-05-26,0,0,8
015067,COTTAGE OF THE SHOALS,500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,AL,35674,2563834541,160,Colbert,103,92.6,False,False,False,False,True,3.04095,3.49341,For profit - Corporation,Medicare and Medicaid,2,2,0,20,1,0,20,2017-06-21,2016-07-14,0,0,44
015071,RUSSELLVILLE HEALTH CARE INC,705 NORTHEAST GANDY STREET,RUSSELLVILLE,AL,35653,2563323773,290,Franklin,50,45.2,False,False,False,False,True,3.2027,5.40799,For profit - Corporation,Medicare and Medicaid,2,2,0,8,1,0,8,2017-06-22,2016-06-16,0,0,4
015075,SUMMERFORD NURSING HOME INC,4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,AL,35622,2567845275,510,Morgan,216,204.2,False,False,False,False,True,3.18916,3.42215,For profit - Corporation,Medicare and Medicaid,3,1,2,341,1,0,341,2017-09-28,2016-09-15,1,13408,76
015076,FAIR HAVEN,1424 MONTCLAIR ROAD,BIRMINGHAM,AL,35210,2059564150,360,Jefferson,259,212.6,False,True,False,False,True,2.90859,4.55841,Non profit - Corporation,Medicare and Medicaid,6,6,0,36,1,0,36,2016-12-01,2015-10-30,0,0,136
015089,EVERGREEN NURSING HOME,100 SANDERS DRIVE,EVERGREEN,AL,36401,2515783783,170,Conecuh,61,57.8,False,False,False,False,True,3.33643,4.65726,For profit - Corporation,Medicare and Medicaid,0,0,0,0,0,0,0,2016-12-01,2015-10-21,0,0,0
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",200 NORTH PINE HILL ROAD,BIRMINGHAM,AL,35217,2058492352,360,Jefferson,190,163.1,False,False,False,False,True,3.12471,3.82407,For profit - Partnership,Medicare and Medicaid,3,3,0,12,1,0,12,2017-03-09,2016-01-28,0,0,16
015097,"SOUTH HEALTH AND REHABILITATION, LLC",1220 SOUTH 17TH STREET,BIRMINGHAM,AL,35205,2059332180,360,Jefferson,83,66.3,False,False,False,False,True,2.82582,4.59719,For profit - Corporation,Medicare and Medicaid,10,10,0,52,1,0,52,2017-03-30,2016-03-03,0,0,40
015098,ALLEN HEALTH AND REHABILITATION,735 SOUTH WASHINGTON AVENUE,MOBILE,AL,36603,2514332642,480,Mobile,119,97.0,False,False,False,False,True,2.85149,4.13314,Non profit - Other,Medicare and Medicaid,2,2,0,16,1,0,16,2016-10-06,2015-11-19,0,0,16
015100,CROWNE HEALTH CARE OF MOBILE,954 NAVCO ROAD,MOBILE,AL,36605,2514738684,480,Mobile,174,142.2,False,False,False,False,True,3.13283,4.86802,For profit - Corporation,Medicare and Medicaid,1,1,0,16,1,0,16,2017-06-22,2016-06-16,0,0,32
015101,ALTOONA  HEALTH & REHAB,6532 WALNUT GROVE ROAD,ALTOONA,AL,35952,2055896394,270,Etowah,50,45.9,False,False,False,False,True,2.88106,3.91935,For profit - Corporation,Medicare and Medicaid,0,0,0,0,0,0,0,2016-12-08,2015-10-08,0,0,20
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",148 TUSCALOOSA ST,MOBILE,AL,36607,2514715431,480,Mobile,164,131.1,False,False,False,False,True,3.21555,3.85593,For profit - Corporation,Medicare and Medicaid,5,5,0,20,1,0,20,2017-11-16,2016-10-20,1,17050,64
015104,SOUTHLAND NURSING HOME,500 SHIVERS TERRACE,MARION,AL,36756,3346836141,520,Perry,91,70.9,False,False,False,False,True,2.90428,4.45342,For profit - Corporation,Medicare and Medicaid,3,3,0,24,1,0,24,2017-04-27,2016-06-09,0,0,52
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",1201 22ND STREET NORTH,BIRMINGHAM,AL,35234,2052515271,360,Jefferson,95,78.0,False,False,False,False,True,3.02635,4.34886,For profit - Corporation,Medicare and Medicaid,15,8,7,100,1,0,100,2016-12-01,2015-12-21,2,18291,52
015111,DIVERSICARE OF BIG SPRINGS,500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,2565395111,440,Madison,145,115.3,False,False,False,False,True,3.27867,3.62865,For profit - Corporation,Medicare and Medicaid,6,6,4,36,1,0,36,2017-07-13,2016-07-14,0,0,36
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,603 WRIGHT STREET,TUSKEGEE,AL,36083,3347274960,430,Macon,111,98.8,False,False,False,False,True,3.09762,3.5255,For profit - Corporation,Medicare and Medicaid,2,2,0,12,1,0,12,2017-10-12,2016-12-15,0,0,12
015113,RIVER CITY CENTER,1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601,2563556911,510,Morgan,183,161.1,False,False,False,False,True,3.06959,3.14572,For profit - Corporation,Medicare and Medicaid,6,3,4,40,1,0,40,2017-05-11,2016-03-24,1,27170,108
